M4id,category,Frequency,Horizon,SP
Y1,Macro,1,6,Yearly
Y2,Macro,1,6,Yearly
Y3,Macro,1,6,Yearly
Y4,Macro,1,6,Yearly
Y5,Macro,1,6,Yearly
Y6,Macro,1,6,Yearly
Y7,Macro,1,6,Yearly
Y8,Macro,1,6,Yearly
Y9,Macro,1,6,Yearly
Y10,Macro,1,6,Yearly
Y11,Macro,1,6,Yearly
Y12,Macro,1,6,Yearly
Y13,Macro,1,6,Yearly
Y14,Macro,1,6,Yearly
Y15,Macro,1,6,Yearly
Y16,Macro,1,6,Yearly
Y17,Macro,1,6,Yearly
Y18,Macro,1,6,Yearly
Y19,Macro,1,6,Yearly
Y20,Macro,1,6,Yearly
Y21,Macro,1,6,Yearly
Y22,Macro,1,6,Yearly
Y23,Macro,1,6,Yearly
Y24,Macro,1,6,Yearly
Y25,Macro,1,6,Yearly
Y26,Macro,1,6,Yearly
Y27,Macro,1,6,Yearly
Y28,Macro,1,6,Yearly
Y29,Macro,1,6,Yearly
Y30,Macro,1,6,Yearly
Y31,Macro,1,6,Yearly
Y32,Macro,1,6,Yearly
Y33,Macro,1,6,Yearly
Y34,Macro,1,6,Yearly
Y35,Macro,1,6,Yearly
Y36,Macro,1,6,Yearly
Y37,Macro,1,6,Yearly
Y38,Macro,1,6,Yearly
Y39,Macro,1,6,Yearly
Y40,Macro,1,6,Yearly
Y41,Macro,1,6,Yearly
Y42,Macro,1,6,Yearly
Y43,Macro,1,6,Yearly
Y44,Macro,1,6,Yearly
Y45,Macro,1,6,Yearly
Y46,Macro,1,6,Yearly
Y47,Macro,1,6,Yearly
Y48,Macro,1,6,Yearly
Y49,Macro,1,6,Yearly
Y50,Macro,1,6,Yearly
Y51,Macro,1,6,Yearly
Y52,Macro,1,6,Yearly
Y53,Macro,1,6,Yearly
Y54,Macro,1,6,Yearly
Y55,Macro,1,6,Yearly
Y56,Macro,1,6,Yearly
Y57,Macro,1,6,Yearly
Y58,Macro,1,6,Yearly
Y59,Macro,1,6,Yearly
Y60,Macro,1,6,Yearly
Y61,Macro,1,6,Yearly
Y62,Macro,1,6,Yearly
Y63,Macro,1,6,Yearly
Y64,Macro,1,6,Yearly
Y65,Macro,1,6,Yearly
Y66,Macro,1,6,Yearly
Y67,Macro,1,6,Yearly
Y68,Macro,1,6,Yearly
Y69,Macro,1,6,Yearly
Y70,Macro,1,6,Yearly
Y71,Macro,1,6,Yearly
Y72,Macro,1,6,Yearly
Y73,Macro,1,6,Yearly
Y74,Macro,1,6,Yearly
Y75,Macro,1,6,Yearly
Y76,Macro,1,6,Yearly
Y77,Macro,1,6,Yearly
Y78,Macro,1,6,Yearly
Y79,Macro,1,6,Yearly
Y80,Macro,1,6,Yearly
Y81,Macro,1,6,Yearly
Y82,Macro,1,6,Yearly
Y83,Macro,1,6,Yearly
Y84,Macro,1,6,Yearly
Y85,Macro,1,6,Yearly
Y86,Macro,1,6,Yearly
Y87,Macro,1,6,Yearly
Y88,Macro,1,6,Yearly
Y89,Macro,1,6,Yearly
Y90,Macro,1,6,Yearly
Y91,Macro,1,6,Yearly
Y92,Macro,1,6,Yearly
Y93,Macro,1,6,Yearly
Y94,Macro,1,6,Yearly
Y95,Macro,1,6,Yearly
Y96,Macro,1,6,Yearly
Y97,Macro,1,6,Yearly
Y98,Macro,1,6,Yearly
Y99,Macro,1,6,Yearly
Y100,Macro,1,6,Yearly
Y101,Macro,1,6,Yearly
Y102,Macro,1,6,Yearly
Y103,Macro,1,6,Yearly
Y104,Macro,1,6,Yearly
Y105,Macro,1,6,Yearly
Y106,Macro,1,6,Yearly
Y107,Macro,1,6,Yearly
Y108,Macro,1,6,Yearly
Y109,Macro,1,6,Yearly
Y110,Macro,1,6,Yearly
Y111,Macro,1,6,Yearly
Y112,Macro,1,6,Yearly
Y113,Macro,1,6,Yearly
Y114,Macro,1,6,Yearly
Y115,Macro,1,6,Yearly
Y116,Macro,1,6,Yearly
Y117,Macro,1,6,Yearly
Y118,Macro,1,6,Yearly
Y119,Macro,1,6,Yearly
Y120,Macro,1,6,Yearly
Y121,Macro,1,6,Yearly
Y122,Macro,1,6,Yearly
Y123,Macro,1,6,Yearly
Y124,Macro,1,6,Yearly
Y125,Macro,1,6,Yearly
Y126,Macro,1,6,Yearly
Y127,Macro,1,6,Yearly
Y128,Macro,1,6,Yearly
Y129,Macro,1,6,Yearly
Y130,Macro,1,6,Yearly
Y131,Macro,1,6,Yearly
Y132,Macro,1,6,Yearly
Y133,Macro,1,6,Yearly
Y134,Macro,1,6,Yearly
Y135,Macro,1,6,Yearly
Y136,Macro,1,6,Yearly
Y137,Macro,1,6,Yearly
Y138,Macro,1,6,Yearly
Y139,Macro,1,6,Yearly
Y140,Macro,1,6,Yearly
Y141,Macro,1,6,Yearly
Y142,Macro,1,6,Yearly
Y143,Macro,1,6,Yearly
Y144,Macro,1,6,Yearly
Y145,Macro,1,6,Yearly
Y146,Macro,1,6,Yearly
Y147,Macro,1,6,Yearly
Y148,Macro,1,6,Yearly
Y149,Macro,1,6,Yearly
Y150,Macro,1,6,Yearly
Y151,Macro,1,6,Yearly
Y152,Macro,1,6,Yearly
Y153,Macro,1,6,Yearly
Y154,Macro,1,6,Yearly
Y155,Macro,1,6,Yearly
Y156,Macro,1,6,Yearly
Y157,Macro,1,6,Yearly
Y158,Macro,1,6,Yearly
Y159,Macro,1,6,Yearly
Y160,Macro,1,6,Yearly
Y161,Macro,1,6,Yearly
Y162,Macro,1,6,Yearly
Y163,Macro,1,6,Yearly
Y164,Macro,1,6,Yearly
Y165,Macro,1,6,Yearly
Y166,Macro,1,6,Yearly
Y167,Macro,1,6,Yearly
Y168,Macro,1,6,Yearly
Y169,Macro,1,6,Yearly
Y170,Macro,1,6,Yearly
Y171,Macro,1,6,Yearly
Y172,Macro,1,6,Yearly
Y173,Macro,1,6,Yearly
Y174,Macro,1,6,Yearly
Y175,Macro,1,6,Yearly
Y176,Macro,1,6,Yearly
Y177,Macro,1,6,Yearly
Y178,Macro,1,6,Yearly
Y179,Macro,1,6,Yearly
Y180,Macro,1,6,Yearly
Y181,Macro,1,6,Yearly
Y182,Macro,1,6,Yearly
Y183,Macro,1,6,Yearly
Y184,Macro,1,6,Yearly
Y185,Macro,1,6,Yearly
Y186,Macro,1,6,Yearly
Y187,Macro,1,6,Yearly
Y188,Macro,1,6,Yearly
Y189,Macro,1,6,Yearly
Y190,Macro,1,6,Yearly
Y191,Macro,1,6,Yearly
Y192,Macro,1,6,Yearly
Y193,Macro,1,6,Yearly
Y194,Macro,1,6,Yearly
Y195,Macro,1,6,Yearly
Y196,Macro,1,6,Yearly
Y197,Macro,1,6,Yearly
Y198,Macro,1,6,Yearly
Y199,Macro,1,6,Yearly
Y200,Macro,1,6,Yearly
Y201,Macro,1,6,Yearly
Y202,Macro,1,6,Yearly
Y203,Macro,1,6,Yearly
Y204,Macro,1,6,Yearly
Y205,Macro,1,6,Yearly
Y206,Macro,1,6,Yearly
Y207,Macro,1,6,Yearly
Y208,Macro,1,6,Yearly
Y209,Macro,1,6,Yearly
Y210,Macro,1,6,Yearly
Y211,Macro,1,6,Yearly
Y212,Macro,1,6,Yearly
Y213,Macro,1,6,Yearly
Y214,Macro,1,6,Yearly
Y215,Macro,1,6,Yearly
Y216,Macro,1,6,Yearly
Y217,Macro,1,6,Yearly
Y218,Macro,1,6,Yearly
Y219,Macro,1,6,Yearly
Y220,Macro,1,6,Yearly
Y221,Macro,1,6,Yearly
Y222,Macro,1,6,Yearly
Y223,Macro,1,6,Yearly
Y224,Macro,1,6,Yearly
Y225,Macro,1,6,Yearly
Y226,Macro,1,6,Yearly
Y227,Macro,1,6,Yearly
Y228,Macro,1,6,Yearly
Y229,Macro,1,6,Yearly
Y230,Macro,1,6,Yearly
Y231,Macro,1,6,Yearly
Y232,Macro,1,6,Yearly
Y233,Macro,1,6,Yearly
Y234,Macro,1,6,Yearly
